logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-0.409846195651846	0.0946846023349226	6.00043011697071	-4.32854113071226	0.00493570155602814	0.10080219126654	tr|A0Q4Y0|A0Q4Y0_FRATN	rlm	naive	0.10080219126654
-0.569732032536911	0.131979846888007	6.00043011697071	-4.3168108311291	0.00499925973333553	0.10080219126654	sp|A0Q862|METK_FRATN	rlm	naive	0.10080219126654
0.49029161544815	0.103635764625023	5.01381313536686	4.73091135306557	0.00515513340905016	0.10080219126654	tr|A0Q7W1|A0Q7W1_FRATN	rlm	naive	0.10080219126654
-0.399810371198142	0.0933585542808334	6.00043011697071	-4.28252530555975	0.00519036369904362	0.10080219126654	tr|A0Q723|A0Q723_FRATN	rlm	naive	0.10080219126654
-0.554712458183614	0.12973205557364	6.00043011697071	-4.27583187309278	0.00522862193597486	0.10080219126654	sp|A0Q7F4|RL13_FRATN	rlm	naive	0.10080219126654
-0.510509629885482	0.115215281268442	5.59153385128745	-4.4309194428475	0.00523313503596504	0.10080219126654	tr|A0Q7S0|A0Q7S0_FRATN	rlm	naive	0.10080219126654
-0.881687320649824	0.207012582191168	5.99746495759339	-4.25910015380429	0.0053316154493227	0.101042712144422	tr|A0Q4Z7|A0Q4Z7_FRATN	rlm	naive	0.101042712144422
-1.57145288044349	0.360527926519427	5.59598398140927	-4.35875493922055	0.00562344566141631	0.104515835255806	tr|A0Q684|A0Q684_FRATN	rlm	naive	0.104515835255806
-0.488419110117318	0.117032686514139	6.00043011697071	-4.17335639012535	0.00585569518859793	0.104515835255806	sp|A0Q4J4|RL24_FRATN	rlm	naive	0.104515835255806
-0.544618123314627	0.125281103430669	5.52638217605377	-4.34716895366444	0.00585863075337939	0.104515835255806	sp|A0Q861|RS16_FRATN	rlm	naive	0.104515835255806
-0.392280324659243	0.0940480934366774	6.00043011697071	-4.17106089368378	0.00587067670373036	0.104515835255806	tr|A0Q5Y2|A0Q5Y2_FRATN	rlm	naive	0.104515835255806
0.722090148908984	0.17408777559173	6.00043011697071	4.14785097031985	0.00602459316798436	0.105655178692263	tr|A0Q4U1|A0Q4U1_FRATN	rlm	naive	0.105655178692263
